RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,Hargrave,1,0,0,2,2,1,1,1,1,1
2,15647311,Hill,1,1,0,2,1,1,0,1,1,0
3,15619304,Onio,0,0,0,2,8,3,1,0,1,1
4,15701354,Boni,1,0,0,1,1,2,0,0,1,0
5,15737888,Mitchell,2,1,0,2,2,1,1,1,1,0
6,15574012,Chu,1,1,1,2,8,2,1,0,2,1
7,15592531,Bartlett,2,0,1,2,7,2,1,1,0,0
8,15656148,Obinna,0,2,0,1,4,4,1,0,1,1
9,15792365,He,0,0,1,2,4,2,0,1,1,0
10,15592389,H?,1,0,1,1,2,1,1,1,1,0
11,15767821,Bearce,0,0,1,1,6,2,0,0,1,0
12,15737173,Andrews,0,1,1,1,3,2,1,0,1,0
13,15632264,Kay,0,0,0,1,10,2,1,0,0,0
14,15691483,Chin,0,0,0,1,5,2,0,0,2,0
15,15600882,Scott,1,1,0,1,7,2,1,1,1,0
16,15643966,Goforth,1,2,1,2,3,2,0,1,1,0
17,15737452,Romeo,1,2,1,2,1,1,1,0,0,1
18,15788218,Henderson,0,1,0,1,9,2,1,1,0,0
19,15661507,Muldrow,1,1,1,2,6,1,0,0,2,0
20,15568982,Hao,2,0,0,1,6,2,1,1,1,0
21,15577657,McDonald,2,0,1,2,8,2,1,1,2,0
22,15597945,Dellucci,1,1,0,1,8,2,1,0,1,0
23,15699309,Gerasimov,0,1,0,1,4,1,1,0,1,1
24,15725737,Mosman,1,0,1,2,3,2,0,1,0,0
25,15625047,Yen,2,0,0,1,5,1,1,1,2,0
26,15738191,Maclean,0,0,1,1,3,2,0,1,1,0
27,15736816,Young,2,2,1,1,2,1,1,1,2,0
28,15700772,Nebechi,0,0,1,2,9,2,0,0,0,0
29,15728693,McWilliams,0,2,0,2,3,1,1,1,1,0
30,15656300,Lucciano,0,0,1,1,0,2,1,1,1,0
31,15589475,Azikiwe,1,1,0,1,3,3,1,0,1,1
32,15706552,Odinakachukwu,0,0,1,1,7,1,0,1,2,0
33,15750181,Sanderson,0,2,1,2,9,2,0,0,1,0
34,15659428,Maggard,0,1,0,2,6,2,1,1,0,0
35,15732963,Clements,2,1,0,1,9,2,1,1,1,0
36,15794171,Lombardo,0,0,0,2,0,1,1,0,0,1
37,15788448,Watson,0,1,1,1,3,1,0,1,1,0
38,15729599,Lorenzo,2,1,1,1,7,1,0,1,1,0
39,15717426,Armstrong,2,0,1,1,7,1,1,1,0,0
40,15585768,Cameron,0,2,1,2,6,2,0,1,2,0
41,15619360,Hsiao,0,1,1,1,4,1,1,0,1,0
42,15738148,Clarke,0,0,0,2,8,1,0,0,2,1
43,15687946,Osborne,0,0,0,2,2,1,1,1,1,0
44,15755196,Lavine,2,0,0,2,2,1,0,0,2,1
45,15684171,Bianchi,1,1,0,2,5,1,1,1,2,0
46,15754849,Tyler,2,2,0,1,4,2,1,1,1,0
47,15602280,Martin,2,2,0,1,9,1,1,1,1,1
48,15771573,Okagbue,1,2,0,1,9,1,1,1,1,1
49,15766205,Yin,0,2,1,1,2,1,0,1,1,0
50,15771873,Buccho,2,2,0,1,2,2,1,0,2,0
51,15616550,Chidiebele,1,2,1,2,10,2,1,0,2,0
52,15768193,Trevisani,1,2,1,1,5,2,0,0,1,0
53,15683553,O'Brien,2,0,0,1,5,2,0,0,1,0
54,15702298,Parkhill,1,2,1,2,8,1,0,0,2,1
55,15569590,Yoo,1,2,1,2,1,1,1,0,0,1
56,15760861,Phillipps,1,0,1,2,1,1,1,1,1,0
57,15630053,Tsao,1,0,1,2,5,1,1,0,1,0
58,15647091,Endrizzi,2,2,1,0,0,1,0,0,0,0
59,15623944,T'ien,0,1,0,2,4,1,1,0,0,1
60,15804771,Velazquez,1,0,1,2,4,1,1,1,0,0
61,15651280,Hunter,2,2,1,1,5,1,0,0,1,0
62,15773469,Clark,1,2,0,1,9,2,0,0,1,0
63,15702014,Jeffrey,0,1,1,1,1,2,0,0,2,0
64,15751208,Pirozzi,1,1,1,2,8,1,1,1,1,0
65,15592461,Jackson,1,2,1,1,4,1,1,1,1,0
66,15789484,Hammond,2,2,0,1,6,2,1,1,0,0
67,15696061,Brownless,0,2,0,1,1,1,1,0,1,0
68,15641582,Chibugo,2,2,1,2,10,2,1,1,2,0
69,15638424,Glauert,1,2,0,1,5,2,0,1,1,0
70,15755648,Pisano,1,0,0,1,8,1,1,0,0,0
71,15703793,Konovalova,2,2,1,2,2,4,1,0,0,1
72,15620344,McKee,2,0,1,1,6,1,1,0,0,0
73,15812518,Palermo,1,1,0,1,0,1,0,1,0,0
74,15779052,Ballard,1,2,0,1,5,2,1,1,1,0
75,15770811,Wallace,0,0,1,1,9,2,0,1,1,0
76,15780961,Cavenagh,2,0,0,1,1,2,1,0,0,0
77,15614049,Hu,1,0,1,2,8,2,1,1,1,0
78,15662085,Read,1,0,0,1,9,1,1,1,1,0
79,15575185,Bushell,2,1,1,1,5,1,0,1,2,0
80,15803136,Postle,0,2,0,2,10,2,1,0,1,0
81,15706021,Buley,1,0,0,1,1,2,0,0,2,0
82,15663706,Leonard,2,0,0,1,2,1,1,0,1,1
83,15641732,Mills,0,0,0,1,3,2,0,0,0,0
84,15701164,Onyeorulu,0,0,0,1,4,1,1,1,2,0
85,15738751,Beit,0,0,0,2,4,2,1,0,0,0
86,15805254,Ndukaku,1,1,0,2,10,2,1,1,1,0
87,15762418,Gant,2,1,1,1,3,1,1,0,1,1
88,15625759,Rowley,2,0,1,1,9,2,1,0,2,0
89,15622897,Sharpe,1,0,0,2,4,3,1,0,1,1
90,15767954,Osborne,1,2,0,1,3,2,1,1,2,0
91,15757535,Heap,1,1,0,2,5,3,1,1,2,1
